DATE OCC,Crm Cd Desc,AREA NAME,DR NO
02/12/2014,BIKE - STOLEN,Southwest,1
07/19/2014,BIKE - STOLEN,Hollywood,1
06/01/2014,BIKE - STOLEN,77th Street,1
12/15/2014,BIKE - STOLEN,Hollywood,1
08/10/2014,BIKE - STOLEN,Hollenbeck,1
04/30/2014,BIKE - STOLEN,Foothill,2
10/08/2014,BIKE - STOLEN,Olympic,2
05/15/2014,BIKE - STOLEN,N Hollywood,1
09/18/2014,BIKE - STOLEN,Southeast,1
07/05/2014,BIKE - STOLEN,Central,2
06/17/2014,BIKE - STOLEN,Central,1
05/17/2014,BIKE - STOLEN,Northeast,1
03/16/2014,BIKE - STOLEN,Central,1
03/03/2014,BIKE - STOLEN,Rampart,3
12/22/2013,BIKE - STOLEN,Southwest,1
05/09/2014,BIKE - STOLEN,Northeast,1
11/27/2014,BIKE - STOLEN,Hollenbeck,1
07/24/2014,BIKE - STOLEN,Olympic,1
04/26/2014,BIKE - STOLEN,Northeast,1
11/08/2014,BIKE - STOLEN,Wilshire,1
08/20/2014,BIKE - STOLEN,West Valley,1
12/01/2014,BIKE - STOLEN,Devonshire,1
07/13/2014,BIKE - STOLEN,Northeast,3
11/10/2014,BIKE - STOLEN,West Valley,1
05/31/2014,BIKE - STOLEN,Olympic,1
06/03/2014,BIKE - STOLEN,77th Street,1
06/12/2014,BIKE - STOLEN,Hollenbeck,1
01/06/2014,BIKE - STOLEN,Wilshire,1
02/12/2014,BIKE - STOLEN,Central,1
02/23/2014,BIKE - STOLEN,Southwest,1
12/27/2013,BIKE - STOLEN,Olympic,1
04/27/2014,BIKE - STOLEN,Wilshire,1
05/19/2014,BIKE - STOLEN,Rampart,2
10/29/2014,BIKE - STOLEN,Southwest,1
03/07/2014,BIKE - STOLEN,77th Street,1
08/05/2014,BIKE - STOLEN,Hollywood,1
01/22/2014,BIKE - STOLEN,Rampart,1
09/18/2014,BIKE - STOLEN,Hollywood,1
02/18/2014,BIKE - STOLEN,Rampart,1
09/20/2014,BIKE - STOLEN,Northeast,2
10/19/2014,BIKE - STOLEN,Northeast,1
10/24/2014,BIKE - STOLEN,Devonshire,1
03/16/1964,BIKE - STOLEN,Central,1
07/09/2014,BIKE - STOLEN,Central,2
06/18/2014,BIKE - STOLEN,Foothill,1
05/05/2014,BIKE - STOLEN,N Hollywood,1
06/01/2014,BIKE - STOLEN,Hollywood,1
08/19/2014,BIKE - STOLEN,Olympic,1
11/26/2014,BIKE - STOLEN,Central,1
11/14/2014,BIKE - STOLEN,Devonshire,1
03/14/2014,BIKE - STOLEN,77th Street,1
07/18/2014,BIKE - STOLEN,Central,1
07/05/2014,BIKE - STOLEN,West Valley,1
09/19/2014,BIKE - STOLEN,Olympic,2
12/12/2014,BIKE - STOLEN,Newton,1
01/31/2014,BIKE - STOLEN,Foothill,1
02/04/2014,BIKE - STOLEN,Central,2
02/01/2014,BIKE - STOLEN,Wilshire,1
07/07/2014,BIKE - STOLEN,Olympic,1
09/22/2014,BIKE - STOLEN,Rampart,1
